                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54762,                0.71468,                 1.8581,                0.91051,                0.36454,                0.81171,                0.46914,                0.40199,                0.36454,                0.81171,                0.46914,                0.41878,                 0.5048,                0.68174,                  2.798,                0.96354,                0.03364,              0.0046399,              0.0046399
                     36,                0.76561,                0.83266,                   1.88,                 1.0035,                0.36454,                0.81171,                0.46914,                0.40199,                0.36454,                0.81171,                0.46914,                0.41878,                 0.5048,                0.68174,                  2.798,                0.96354,               0.031698,              0.0046983,              0.0046983
                     37,                0.56951,                0.63856,                  1.664,                0.91064,                0.35359,                0.83333,                0.44301,                 0.4002,                0.35359,                0.83333,                0.44301,                0.39986,                0.46967,                0.65073,                 2.8205,                 0.9516,               0.029753,              0.0047528,              0.0047528
                     38,                0.67428,                0.83495,                  1.762,                 1.0263,                0.34628,                0.95833,                0.48951,                0.43412,                0.34628,                0.95833,                0.48951,                0.43485,                0.49802,                0.71445,                  2.865,                0.97478,               0.027803,              0.0048033,              0.0048033
                     39,                0.66736,                0.76995,                 1.7708,                0.99266,                0.34628,                0.95833,                0.48951,                0.43412,                0.34628,                0.95833,                0.48951,                0.43485,                0.49802,                0.71445,                  2.865,                0.97478,                0.02585,              0.0048498,              0.0048498
                     40,                0.64211,                0.84172,                 1.9005,                 1.0638,                0.31735,                0.97436,                0.58411,                0.50004,                0.32377,                0.98919,                0.58555,                0.50434,                0.48172,                0.78283,                 2.8164,                0.95821,               0.023892,              0.0048924,              0.0048924
                     41,                0.62425,                0.75715,                 1.8168,                0.96691,                0.32004,                      1,                0.59933,                0.53691,                0.32004,                      1,                0.59933,                0.52393,                 0.4448,                0.61268,                 2.7942,                0.92612,               0.021931,               0.004931,               0.004931
                     42,                0.69281,                0.81224,                 1.8157,                 1.0297,                0.32004,                      1,                0.59933,                0.53691,                0.32004,                      1,                0.59933,                0.52393,                 0.4448,                0.61268,                 2.7942,                0.92612,               0.019966,              0.0049657,              0.0049657
                     43,                0.63271,                0.78964,                 1.7819,                0.98981,                0.38263,                0.69192,                0.55941,                 0.4658,                0.38263,                0.69192,                0.55941,                0.48131,                0.55849,                0.65306,                 2.6821,                  1.049,               0.017996,              0.0049964,              0.0049964
                     44,                0.66266,                0.76748,                 1.7566,                 1.0042,                0.38263,                0.69192,                0.55941,                 0.4658,                0.38263,                0.69192,                0.55941,                0.48131,                0.55849,                0.65306,                 2.6821,                  1.049,               0.016023,              0.0050232,              0.0050232
                     45,                 0.6094,                 0.7291,                 1.6246,                0.97244,                0.47475,                0.73471,                0.57642,                0.51182,                0.47475,                0.73471,                0.57642,                0.51117,                0.50122,                0.73216,                 2.5975,                0.96183,               0.014046,               0.005046,               0.005046
                     46,                 0.6237,                0.88006,                 1.7027,                 1.0126,                0.47475,                0.73471,                0.57642,                0.51182,                0.47475,                0.73471,                0.57642,                0.51117,                0.50122,                0.73216,                 2.5975,                0.96183,               0.012065,              0.0050648,              0.0050648
